employee,customer_and_account_no,product_name,sale_date,sale_amount,units_sold,invoice_no,invoice_frequency
Bob Lob (bob.lob@korning.com),LG (LG858843),Chimp Glass,10/14/12,"$148,640.25 ",610684,18482,Quarterly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Orangutan Glass,6/18/12,"$963,657.95 ",921670,74424,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534,Gorilla Glass,9/25/12,"$772,003.66 ",680398,23840,Quarterly
Bob Lob (bob.lob@korning.com),HTC (HT925638),Gorilla Glass,3/16/12,"$506,287.33 ",934284,46915,Monthly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Gorilla Glass,1/12/12,"$165,110.99 ",607166,18027,Once
Bob Lob (bob.lob@korning.com),Motorola (MT928534,Orangutan Glass,9/20/12,"$228,861.53 ",544865,34321,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Gorilla Glass,6/19/12,"$387,688.60 ",609735,77929,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Gorilla Glass,1/14/12,"$127,563.37 ",150293,15526,Monthly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Gorilla Glass,3/31/12,"$334,495.59 ",640794,85597,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Gorilla Glass,7/22/12,"$773,229.00 ",972651,28662,Once
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Orangutan Glass,12/18/12,"$630,226.81 ",699467,44395,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Chimp Glass,2/13/12,"$684,378.67 ",124739,89518,Quarterly
Bob Lob (bob.lob@korning.com),Motorola (MT928534,Gorilla Glass,6/24/12,"$741,267.76 ",691829,30474,Quarterly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Baboon Glass,2/20/12,"$712,163.20 ",906792,19923,Quarterly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Chimp Glass,3/28/12,"$191,411.68 ",852939,17405,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Baboon Glass,9/16/12,"$391,080.58 ",549813,61605,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Gorilla Glass,6/15/12,"$818,804.01 ",256231,46284,Quarterly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Chimp Glass,3/27/12,"$259,001.44 ",408918,90676,Monthly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Orangutan Glass,5/22/12,"$739,161.25 ",656542,27668,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534,Gorilla Glass,7/6/12,"$794,913.31 ",275105,40089,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Gorilla Glass,1/3/12,"$177,394.52 ",147646,48621,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Baboon Glass,12/27/12,"$988,808.95 ",654122,78483,Once
Clancy Wiggum (clancy.wiggum@korning.com),Nokia (NK881241),Orangutan Glass,7/12/12,"$948,248.31 ",837453,55359,Once
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Chimp Glass,8/25/12,"$667,108.24 ",471462,38639,Monthly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Gorilla Glass,11/3/12,"$814,553.82 ",702223,63272,Quarterly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Gorilla Glass,4/12/12,"$123,567.97 ",348527,27862,Monthly
Bob Lob (bob.lob@korning.com),HTC (HT925638),Orangutan Glass,8/13/12,"$868,613.82 ",548071,51772,Quarterly
Bob Lob (bob.lob@korning.com),LG (LG858843),Chimp Glass,12/25/12,"$247,259.94 ",278135,23393,Once
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Chimp Glass,8/23/12,"$347,892.00 ",542596,91575,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Nokia (NK881241),Baboon Glass,7/29/12,"$919,108.83 ",602425,81779,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Chimp Glass,9/2/12,"$519,856.36 ",873142,76951,Monthly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Gorilla Glass,9/11/12,"$208,813.71 ",987276,84881,Once
Bob Lob (bob.lob@korning.com),HTC (HT925638),Baboon Glass,8/3/12,"$192,927.05 ",638175,40289,Monthly
Bob Lob (bob.lob@korning.com),HTC (HT925638),Gorilla Glass,4/4/12,"$524,286.00 ",742741,27626,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Chimp Glass,12/8/12,"$113,785.56 ",301486,79614,Monthly
Bob Lob (bob.lob@korning.com),HTC (HT925638),Gorilla Glass,4/18/12,"$151,758.42 ",132740,31820,Monthly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Gorilla Glass,11/8/12,"$462,204.57 ",889994,88294,Once
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Gorilla Glass,10/7/12,"$194,688.10 ",110670,71400,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Gorilla Glass,10/4/12,"$188,437.10 ",332183,25045,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534,Gorilla Glass,8/2/12,"$812,645.35 ",738675,48645,Monthly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Gorilla Glass,10/4/12,"$427,373.62 ",399188,23220,Monthly
Bob Lob (bob.lob@korning.com),LG (LG858843),Chimp Glass,12/7/12,"$328,934.67 ",828757,15828,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Orangutan Glass,9/16/12,"$684,968.93 ",607402,27244,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Gorilla Glass,3/20/12,"$198,301.43 ",946455,86825,Monthly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Chimp Glass,1/7/12,"$696,354.14 ",700918,30225,Once
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Chimp Glass,2/11/12,"$491,474.07 ",327851,44283,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534,Baboon Glass,4/18/12,"$624,045.96 ",624849,21738,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Nokia (NK881241),Baboon Glass,8/12/12,"$181,025.41 ",487877,54597,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534,Orangutan Glass,12/10/12,"$559,712.41 ",879188,69549,Once
Bob Lob (bob.lob@korning.com),LG (LG858843),Baboon Glass,6/29/12,"$937,523.01 ",127998,24957,Once
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Gorilla Glass,4/12/12,"$508,941.22 ",500681,60110,Once
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Orangutan Glass,10/4/12,"$346,931.48 ",708591,51789,Once
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Gorilla Glass,10/27/12,"$710,785.91 ",738749,90686,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Orangutan Glass,8/21/12,"$538,182.79 ",804924,16237,Once
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Chimp Glass,9/29/12,"$590,985.90 ",914893,30496,Once
Bob Lob (bob.lob@korning.com),HTC (HT925638),Chimp Glass,8/12/12,"$312,652.36 ",281865,56515,Once
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Baboon Glass,12/16/12,"$209,831.59 ",178343,71988,Once
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Orangutan Glass,8/1/12,"$277,958.60 ",566436,76918,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Baboon Glass,11/14/12,"$205,599.60 ",805518,88636,Monthly
Ricky Bobby (ricky.bobby@korning.com),Apple (AP512452),Orangutan Glass,4/22/12,"$569,417.96 ",787949,91012,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Apple (AP512452),Gorilla Glass,10/10/12,"$637,953.83 ",507056,41560,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Gorilla Glass,2/21/12,"$232,782.59 ",742155,19712,Monthly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Gorilla Glass,9/26/12,"$630,477.80 ",831629,23303,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Baboon Glass,7/28/12,"$823,819.70 ",114119,90090,Once
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Chimp Glass,10/27/12,"$366,538.71 ",498677,41630,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Gorilla Glass,6/8/12,"$589,653.45 ",414850,59593,Once
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Gorilla Glass,1/24/12,"$354,025.84 ",154457,69027,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Baboon Glass,6/23/12,"$750,056.46 ",174248,40175,Monthly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Baboon Glass,10/10/12,"$847,957.10 ",427540,69329,Quarterly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Baboon Glass,9/11/12,"$894,492.49 ",125715,65003,Once
Ricky Bobby (ricky.bobby@korning.com),Apple (AP512452),Baboon Glass,9/18/12,"$819,319.94 ",850560,58782,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Nokia (NK881241),Baboon Glass,10/19/12,"$609,138.42 ",380815,37194,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Gorilla Glass,9/4/12,"$848,860.78 ",170402,65495,Once
Bob Lob (bob.lob@korning.com),LG (LG858843),Orangutan Glass,4/1/12,"$748,607.43 ",587185,59653,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Orangutan Glass,10/3/12,"$999,972.57 ",800736,18866,Once
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Gorilla Glass,3/27/12,"$815,116.28 ",431931,73820,Quarterly
Bob Lob (bob.lob@korning.com),HTC (HT925638),Baboon Glass,1/16/12,"$813,663.99 ",972232,17743,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Chimp Glass,1/25/12,"$283,174.17 ",168289,90238,Monthly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Orangutan Glass,1/3/12,"$150,421.58 ",117091,48839,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Chimp Glass,4/26/12,"$420,857.57 ",837638,24754,Once
Clancy Wiggum (clancy.wiggum@korning.com),Nokia (NK881241),Gorilla Glass,6/3/12,"$783,566.98 ",415969,53182,Once
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Chimp Glass,2/11/12,"$912,558.91 ",886052,74376,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534,Gorilla Glass,10/20/12,"$876,490.04 ",535064,65504,Once
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Orangutan Glass,9/8/12,"$346,549.85 ",735917,91862,Once
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Baboon Glass,1/4/12,"$243,822.96 ",236313,23243,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Orangutan Glass,6/5/12,"$589,076.09 ",175283,76628,Monthly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Baboon Glass,9/12/12,"$288,469.23 ",138324,58742,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534,Orangutan Glass,6/9/12,"$399,879.68 ",668945,37650,Quarterly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Gorilla Glass,7/27/12,"$437,109.97 ",298968,71286,Quarterly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Gorilla Glass,10/7/12,"$796,258.36 ",883192,73687,Quarterly
Bob Lob (bob.lob@korning.com),LG (LG858843),Orangutan Glass,4/27/12,"$117,346.40 ",338236,63226,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Chimp Glass,6/14/12,"$108,388.96 ",366861,46811,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Orangutan Glass,5/26/12,"$298,430.53 ",337123,36444,Quarterly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Gorilla Glass,7/31/12,"$314,107.32 ",146014,41210,Monthly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Chimp Glass,6/20/12,"$718,032.59 ",782427,65384,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Gorilla Glass,1/29/12,"$682,147.06 ",296708,55379,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Baboon Glass,7/28/12,"$443,325.48 ",823124,70045,Quarterly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Chimp Glass,4/15/12,"$564,413.52 ",524432,88268,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Chimp Glass,5/7/12,"$405,743.82 ",891204,68557,Monthly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Orangutan Glass,3/31/12,"$611,357.97 ",391898,16407,Quarterly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Baboon Glass,12/20/12,"$843,596.22 ",807962,45509,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Gorilla Glass,9/20/12,"$702,116.37 ",565324,68651,Monthly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Baboon Glass,5/14/12,"$198,513.72 ",179952,69811,Once
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Gorilla Glass,11/15/12,"$603,470.02 ",936206,37871,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Baboon Glass,7/20/12,"$523,157.65 ",896838,17542,Monthly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Baboon Glass,12/22/12,"$744,183.41 ",487950,67479,Monthly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Orangutan Glass,10/11/12,"$317,724.55 ",649917,62467,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Baboon Glass,1/13/12,"$470,397.94 ",861290,86485,Once
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Orangutan Glass,6/26/12,"$864,198.86 ",854771,16087,Monthly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Gorilla Glass,7/7/12,"$408,253.95 ",822915,33010,Monthly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Gorilla Glass,10/26/12,"$491,987.83 ",465951,18761,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Chimp Glass,7/19/12,"$727,395.07 ",582120,55134,Once
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Chimp Glass,1/18/12,"$619,694.78 ",232679,50258,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Chimp Glass,7/27/12,"$374,307.05 ",346239,58738,Once
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Chimp Glass,6/2/12,"$143,507.83 ",861625,46831,Quarterly
Bob Lob (bob.lob@korning.com),Motorola (MT928534,Chimp Glass,4/24/12,"$225,704.23 ",133776,70047,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534,Gorilla Glass,2/5/12,"$690,757.60 ",393867,56197,Monthly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Chimp Glass,12/7/12,"$696,683.35 ",459032,87352,Once
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Gorilla Glass,7/18/12,"$753,297.20 ",216994,83587,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Baboon Glass,8/26/12,"$644,819.28 ",268009,17873,Monthly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Baboon Glass,6/29/12,"$913,672.01 ",765468,82293,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Gorilla Glass,4/29/12,"$423,522.28 ",722694,61377,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Orangutan Glass,4/22/12,"$781,290.27 ",630556,66441,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Orangutan Glass,7/17/12,"$361,115.84 ",465922,73665,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Chimp Glass,3/20/12,"$218,513.50 ",233746,48976,Quarterly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Chimp Glass,10/4/12,"$649,098.79 ",431526,44138,Quarterly
Bob Lob (bob.lob@korning.com),Motorola (MT928534,Gorilla Glass,3/24/12,"$517,573.94 ",826142,63497,Monthly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Baboon Glass,4/26/12,"$821,648.40 ",743498,78553,Once
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Gorilla Glass,11/4/12,"$391,887.32 ",856886,36309,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Gorilla Glass,12/19/12,"$602,308.90 ",980580,77748,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Baboon Glass,8/19/12,"$638,982.54 ",324642,59821,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Gorilla Glass,9/25/12,"$547,681.14 ",365404,84389,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Orangutan Glass,11/2/12,"$392,309.10 ",633784,30332,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Gorilla Glass,1/26/12,"$597,730.22 ",560841,90132,Once
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Orangutan Glass,12/13/12,"$938,399.97 ",669150,70183,Once
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Baboon Glass,2/19/12,"$258,858.50 ",564855,76708,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Apple (AP512452),Chimp Glass,12/16/12,"$408,684.89 ",928544,58962,Once
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Baboon Glass,9/12/12,"$741,495.97 ",120492,58212,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Chimp Glass,6/1/12,"$355,826.21 ",166854,78789,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Orangutan Glass,2/6/12,"$881,551.32 ",841853,24300,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Orangutan Glass,7/10/12,"$191,824.79 ",764765,83573,Monthly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Chimp Glass,5/5/12,"$594,221.52 ",226601,65663,Quarterly
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Baboon Glass,3/17/12,"$950,464.33 ",302142,78239,Monthly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Chimp Glass,5/30/12,"$289,582.28 ",153197,70077,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Orangutan Glass,10/11/12,"$659,819.47 ",129612,35049,Monthly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Chimp Glass,2/28/12,"$839,668.51 ",872977,85783,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Baboon Glass,10/4/12,"$468,637.06 ",761141,42983,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Nokia (NK881241),Baboon Glass,11/7/12,"$871,884.57 ",341845,55476,Once
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Orangutan Glass,5/12/12,"$981,968.04 ",880255,69391,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Baboon Glass,1/6/12,"$311,363.20 ",167422,36811,Monthly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Baboon Glass,4/23/12,"$295,691.33 ",732259,20858,Once
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Baboon Glass,5/10/12,"$470,254.94 ",936964,77511,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Gorilla Glass,3/12/12,"$338,783.21 ",507174,84226,Once
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Gorilla Glass,1/9/12,"$290,528.49 ",410643,18108,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Orangutan Glass,10/2/12,"$269,081.15 ",308165,91767,Once
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Baboon Glass,12/30/12,"$794,540.38 ",656871,48902,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Chimp Glass,10/4/12,"$867,983.08 ",262164,39633,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Gorilla Glass,5/11/12,"$181,766.05 ",666936,48463,Quarterly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Chimp Glass,8/27/12,"$297,935.80 ",235021,81488,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Baboon Glass,4/15/12,"$893,379.58 ",169931,78126,Monthly
Bob Lob (bob.lob@korning.com),HTC (HT925638),Baboon Glass,6/19/12,"$793,771.72 ",676321,48440,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Orangutan Glass,7/25/12,"$719,746.42 ",151139,46462,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Baboon Glass,2/16/12,"$853,122.79 ",156442,84580,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Orangutan Glass,5/7/12,"$762,852.94 ",870499,15891,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Gorilla Glass,5/29/12,"$664,812.17 ",828586,37308,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Baboon Glass,9/12/12,"$968,578.42 ",476084,35323,Once
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Orangutan Glass,4/16/12,"$951,470.97 ",585480,23676,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Orangutan Glass,12/18/12,"$817,099.35 ",196075,89049,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Baboon Glass,6/27/12,"$156,105.17 ",197695,29797,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Baboon Glass,10/2/12,"$629,247.67 ",848847,35893,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Baboon Glass,8/31/12,"$951,645.55 ",753046,50317,Quarterly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Baboon Glass,10/20/12,"$412,595.48 ",640527,51397,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Orangutan Glass,7/25/12,"$572,051.84 ",111832,35623,Monthly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Chimp Glass,7/16/12,"$265,007.11 ",640322,26872,Once
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Orangutan Glass,4/26/12,"$384,136.55 ",190752,34382,Once
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Orangutan Glass,3/3/12,"$520,330.78 ",423670,41482,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Orangutan Glass,3/3/12,"$794,502.00 ",454139,55915,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Gorilla Glass,9/4/12,"$325,570.24 ",266001,49713,Monthly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Chimp Glass,9/3/12,"$425,884.01 ",491635,46422,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Baboon Glass,10/12/12,"$997,332.14 ",635524,32703,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Chimp Glass,10/12/12,"$127,271.56 ",810426,60353,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Chimp Glass,2/21/12,"$853,956.52 ",578353,66052,Once
Bob Lob (bob.lob@korning.com),Motorola (MT928534,Gorilla Glass,11/13/12,"$141,818.38 ",904619,89488,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Baboon Glass,6/3/12,"$721,415.74 ",281062,18625,Once
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Gorilla Glass,1/25/12,"$555,757.11 ",612668,81584,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Orangutan Glass,2/6/12,"$158,220.06 ",175660,18779,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Orangutan Glass,2/12/12,"$875,811.08 ",502619,50330,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Chimp Glass,6/6/12,"$293,414.58 ",943977,28363,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Chimp Glass,6/13/12,"$219,764.80 ",844093,70896,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Chimp Glass,9/9/12,"$612,311.91 ",160773,92092,Once
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Orangutan Glass,7/30/12,"$364,813.95 ",428424,76074,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Nokia (NK881241),Orangutan Glass,9/21/12,"$224,097.33 ",407698,77991,Once
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Baboon Glass,12/22/12,"$360,533.06 ",550540,17411,Monthly
Bob Lob (bob.lob@korning.com),HTC (HT925638),Baboon Glass,8/21/12,"$668,325.89 ",937015,24501,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Apple (AP512452),Chimp Glass,2/10/12,"$750,074.45 ",644316,20150,Once
Ricky Bobby (ricky.bobby@korning.com),Apple (AP512452),Orangutan Glass,10/14/12,"$342,615.37 ",602591,82471,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Baboon Glass,3/30/12,"$360,647.36 ",588695,80294,Once
Bob Lob (bob.lob@korning.com),LG (LG858843),Gorilla Glass,6/18/12,"$637,044.60 ",542579,79443,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Baboon Glass,3/1/12,"$311,214.55 ",561493,60178,Monthly
Ricky Bobby (ricky.bobby@korning.com),Apple (AP512452),Gorilla Glass,12/30/12,"$461,955.81 ",577956,34524,Once
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Gorilla Glass,3/22/12,"$442,351.57 ",221770,44360,Once
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Gorilla Glass,10/22/12,"$236,661.00 ",637236,60109,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Baboon Glass,11/8/12,"$976,463.70 ",845569,83497,Once
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Orangutan Glass,9/30/12,"$268,224.04 ",632719,50624,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Gorilla Glass,7/20/12,"$776,535.17 ",404963,40516,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Nokia (NK881241),Chimp Glass,12/23/12,"$638,096.19 ",656833,18291,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Baboon Glass,3/8/12,"$359,239.66 ",744305,77716,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Orangutan Glass,7/23/12,"$631,197.40 ",404084,80878,Quarterly
